County,Fiscal Year,Award Amount,Loans Issued
Allegany,2023,587783,16
Anne Arundel,2023,1146668,60
Baltimore City,2023,6374718,363
Baltimore,2023,2179493,161
Calvert,2023,201922,19
Caroline,2023,434969,15
Carroll,2023,73563,6
Cecil,2023,227205,12
Charles,2023,909869,41
Dorchester,2023,452644,14
Frederick,2023,460896,13
Garrett,2023,329920,2
Harford,2023,207797,21
Howard,2023,2159570,10
Kent,2023,35214,3
Montgomery,2023,587904,44
Prince George's,2023,4401579,273
Queen Anne's,2023,24903,2
Saint Mary's,2023,598982,10
Somerset,2023,268491,12
Talbot,2023,43834,5
Washington,2023,297252,17
Wicomico,2023,587684,32
Worcester,2023,649296,22
Allegany,2022,152185,4
Anne Arundel,2022,310861,7
Baltimore City,2022,2251064,39
Baltimore,2022,368894,10
Calvert,2022,212686,4
Caroline,2022,158187,4
Carroll,2022,109167,4
Cecil,2022,371676,3
Charles,2022,168350,2
Dorchester,2022,511181,5
Frederick,2022,296759,5
Garrett,2022,75000,1
Harford,2022,130802,3
Howard,2022,15000,1
Kent,2022,254602,3
Montgomery,2022,109388,3
Prince George's,2022,2163633,44
Queen Anne's,2022,75000,1
Saint Mary's,2022,111365,2
Somerset,2022,358313,5
Washington,2022,197370,2
Wicomico,2022,170382,3
Anne Arundel,2021,775837,11
Baltimore City,2021,3126059,49
Baltimore,2021,626604,15
Caroline,2021,179735,2
Carroll,2021,39900,1
Cecil,2021,117400,2
Charles,2021,75000,1
Dorchester,2021,653587,14
Frederick,2021,351570,4
Harford,2021,60000,1
Howard,2021,75000,1
Kent,2021,75000,1
Montgomery,2021,292875,6
Prince George's,2021,2249238,51
Saint Mary's,2021,37206,1
Somerset,2021,206381,4
Saint Mary's,2021,75000,1
Talbot,2021,340595,6
Washington,2021,108438,4
Wicomico,2021,27991,1
Worcester,2021,168348,2
Allegany,2020,182164,3
Anne Arundel,2020,950589,22
Baltimore,2020,646383,14
Baltimore City,2020,4688332,120
Calvert,2020,277125,4
Caroline,2020,173164,4
Carroll,2020,242423,8
Cecil,2020,607109,7
Charles,2020,216330,4
Dorchester,2020,310792,3
Frederick,2020,376043,6
Garrett,2020,210000,3
Harford,2020,150000,3
Howard,2020,188170,3
Kent,2020,75000,1
Montgomery,2020,228300,5
Prince George's,2020,3003395,75
Queen Anne's,2020,75000,1
Saint Mary's,2020,261660,7
Somerset,2020,158740,2
Talbot,2020,60000,1
Washington,2020,182066,5
Wicomico,2020,380941,7
Worcester,2020,190209,3
Allegany,2019,25000,1
Anne Arundel,2019,471570,14
Baltimore,2019,106220,3
Baltimore City,2019,1424958,53
Calvert,2019,60000,1
Caroline,2019,48000,1
Carroll,2019,207239,3
Cecil,2019,105000,2
Dorchester,2019,348336,3
Frederick,2019,134014,3
Harford,2019,75000,1
Howard,2019,75000,1
Montgomery,2019,120984,3
Prince George's,2019,407651,15
Queen Anne's,2019,10595,1
Somerset,2019,791661,12
Saint Mary's,2019,15580,1
Talbot,2019,225217,2
Washington,2019,70465,2
Wicomico,2019,74030,2
Worcester,2019,200574,2
Anne Arundel,2018,640928,22
Baltimore,2018,503521,20
Baltimore City,2018,3403514,163
Calvert,2018,243936,3
Cecil,2018,69716,2
Charles,2018,278682,5
Dorchester,2018,240696,5
Frederick,2018,206720,4
Garrett,2018,75000,1
Harford,2018,169944,3
Howard,2018,50000,1
Kent,2018,10000,1
Montgomery,2018,30000,1
Prince George's,2018,1482209,43
Queen Anne's,2018,168954,4
Saint Mary's,2018,162500,3
Somerset,2018,272605,9
Talbot,2018,75000,1
Washington,2018,135498,3
Wicomico,2018,7135,1
Worcester,2018,215543,5
Anne Arundel,2017,951503,30
Baltimore,2017,12582,1
Baltimore City,2017,2705937,142
Caroline,2017,329548,5
Carroll,2017,14850,1
Cecil,2017,31500,1
Charles,2017,122826,4
Dorchester,2017,169152,5
Frederick,2017,157900,7
Garrett,2017,141167,7
Harford,2017,83229,1
Howard,2017,453511,7
Kent,2017,10000,1
Montgomery,2017,203996,6
Prince George's,2017,868831,23
Saint Mary's,2017,46000,1
Somerset,2017,279528,8
Talbot,2017,24800,1
Washington,2017,64199,2
Wicomico,2017,359538,11
Worcester,2017,197633,4
Allegany,2016,102091,6
Anne Arundel,2016,1372738,52
Baltimore,2016,41697,2
Baltimore City,2016,2500455,122
Calvert,2016,75000,1
Carroll,2016,114404,3
Cecil,2016,40000,1
Charles,2016,402651,8
Dorchester,2016,162313,2
Frederick,2016,459376,11
Garrett,2016,140655,5
Harford,2016,99185,4
Howard,2016,52500,1
Kent,2016,425472,6
Montgomery,2016,94185,2
Prince George's,2016,729380,19
Somerset,2016,1096117,15
Talbot,2016,226241,2
Washington,2016,229240,4
Wicomico,2016,104294,5
Worcester,2016,393139,15
Anne Arundel,2015,872102,29
Baltimore,2015,70338,2
Baltimore City,2015,2070064,122
Calvert,2015,152335,1
Caroline,2015,15000,1
Carroll,2015,179677,2
Cecil,2015,50000,1
Charles,2015,172349,4
Dorchester,2015,49000,1
Frederick,2015,156007,6
Garrett,2015,74406,3
Harford,2015,90000,2
Howard,2015,123835,4
Kent,2015,223500,3
Montgomery,2015,117705,4
Prince George's,2015,310667,10
Queen Anne's,2015,92068,1
Saint Mary's,2015,24000,1
Somerset,2015,274617,8
Talbot,2015,15000,1
Washington,2015,68221,3
Wicomico,2015,177377,8
Allegany,2014,164419,5
Anne Arundel,2014,1216430,41
Baltimore,2014,186082,5
Baltimore City,2014,1725810,102
Calvert,2014,9930,1
Caroline,2014,67486,2
Carroll,2014,63098,2
Cecil,2014,32465,1
Charles,2014,389180,3
Dorchester,2014,250650,4
Frederick,2014,120274,5
Kent,2014,217341,3
Montgomery,2014,70000,2
Multiple,2014,80000,2
Prince George's,2014,123887,3
Saint Mary's,2014,76580,2
Somerset,2014,2134127,21
Talbot,2014,9444,1
Washington,2014,57835,4
Wicomico,2014,246269,2
Worcester,2014,532740,5
Allegany,2013,24413,1
Anne Arundel,2013,1227548,29
Baltimore,2013,570915,9
Baltimore City,2013,2413286,112
Calvert,2013,116217,3
Caroline,2013,116882,7
Carroll,2013,204889,3
Charles,2013,351429,4
Dorchester,2013,215862,5
Frederick,2013,153194,7
Garrett,2013,170413,2
Harford,2013,70383,2
Cecil,2013,60000,1
Kent,2013,115244,1
Montgomery,2013,237848,4
Prince George's,2013,196395,3
Queen Anne's,2013,23881,1
Saint Mary's,2013,26000,2
Somerset,2013,656978,9
Talbot,2013,311270,6
Washington,2013,650320,9
Wicomico,2013,382306,14
Worcester,2013,243921,5
Allegany,2012,148323,4
Anne Arundel,2012,1620995,31
Baltimore,2012,197692,7
Baltimore City,2012,2269956,99
Calvert,2012,63311,3
Caroline,2012,155968,7
Carroll,2012,222639,5
Cecil,2012,14865,1
Charles,2012,271215,5
Dorchester,2012,293767,5
Frederick,2012,309959,10
Harford,2012,246647,3
Howard,2012,257534,3
Kent,2012,37815,1
Montgomery,2012,190410,3
Multiple,2012,75000,1
Prince George's,2012,274574,6
Queen Anne's,2012,79815,4
Saint Mary's,2012,169229,1
Somerset,2012,493124,5
Talbot,2012,777562,13
Washington,2012,115050,4
Wicomico,2012,412191,15
Worcester,2012,371830,8
Allegany,2011,123299,7
Anne Arundel,2011,1401257,36
Baltimore,2011,376429,7
Baltimore City,2011,2198327,105
Calvert,2011,144365,3
Caroline,2011,371071,10
Carroll,2011,265868,8
Cecil,2011,53750,2
Charles,2011,120567,4
Dorchester,2011,676683,18
Frederick,2011,595925,10
Garrett,2011,208445,3
Harford,2011,148450,2
Howard,2011,56075,2
Kent,2011,525364,10
Montgomery,2011,253326,5
Multiple,2011,90000,2
Prince George's,2011,101384,4
Queen Anne's,2011,298519,4
Saint Mary's,2011,86980,8
Somerset,2011,412587,8
Talbot,2011,329759,13
Washington,2011,391085,6
Wicomico,2011,577410,22
Worcester,2011,211018,3
