FY,County,Loans Issued,Award Amount
2023,Allegany,16,587783
2023,Anne Arundel,60,1146668
2023,Baltimore City,363,6374718
2023,Baltimore,161,2179493
2023,Calvert,19,201922
2023,Caroline,15,434969
2023,Carroll,6,73563
2023,Cecil,12,227205
2023,Charles,41,909869
2023,Dorchester,14,452644
2023,Frederick,13,460896
2023,Garrett,2,329920
2023,Harford,21,207797
2023,Howard,10,2159570
2023,Kent,3,35214
2023,Montgomery,44,587904
2023,Prince George's,273,4401579
2023,Queen Anne's,2,24903
2023,Saint Mary's,10,598982
2023,Somerset,12,268491
2023,Talbot,5,43834
2023,Washington,17,297252
2023,Wicomico,32,587684
2023,Worcester,22,649296
2022,Allegany,4,152185
2022,Anne Arundel,7,310861
2022,Baltimore City,39,2251064
2022,Baltimore,10,368894
2022,Calvert,4,212686
2022,Caroline,4,158187
2022,Carroll,4,109167
2022,Cecil,3,371676
2022,Charles,2,168350
2022,Dorchester,5,511181
2022,Frederick,5,296759
2022,Garrett,1,75000
2022,Harford,3,130802
2022,Howard,1,15000
2022,Kent,3,254602
2022,Montgomery,3,109388
2022,Prince George's,44,2163633
2022,Queen Anne's,1,75000
2022,Saint Mary's,2,111365
2022,Somerset,5,358313
2022,Washington,2,197370
2022,Wicomico,3,170382
2021,Anne Arundel,11,775837
2021,Baltimore City,49,3126059
2021,Baltimore,15,626604
2021,Caroline,2,179735
2021,Carroll,1,39900
2021,Cecil,2,117400
2021,Charles,1,75000
2021,Dorchester,14,653587
2021,Frederick,4,351570
2021,Harford,1,60000
2021,Howard,1,75000
2021,Kent,1,75000
2021,Montgomery,6,292875
2021,Prince George's,51,2249238
2021,Saint Mary's,1,37206
2021,Somerset,4,206381
2021,Saint Mary's,1,75000
2021,Talbot,6,340595
2021,Washington,4,108438
2021,Wicomico,1,27991
2021,Worcester,2,168348
2020,Allegany,3,182164
2020,Anne Arundel,22,950589
2020,Baltimore,14,646383
2020,Baltimore City,120,4688332
2020,Calvert,4,277125
2020,Caroline,4,173164
2020,Carroll,8,242423
2020,Cecil,7,607109
2020,Charles,4,216330
2020,Dorchester,3,310792
2020,Frederick,6,376043
2020,Garrett,3,210000
2020,Harford,3,150000
2020,Howard,3,188170
2020,Kent,1,75000
2020,Montgomery,5,228300
2020,Prince George's,75,3003395
2020,Queen Anne's,1,75000
2020,Saint Mary's,7,261660
2020,Somerset,2,158740
2020,Talbot,1,60000
2020,Washington,5,182066
2020,Wicomico,7,380941
2020,Worcester,3,190209
2019,Allegany,1,25000
2019,Anne Arundel,14,471570
2019,Baltimore,3,106220
2019,Baltimore City,53,1424958
2019,Calvert,1,60000
2019,Caroline,1,48000
2019,Carroll,3,207239
2019,Cecil,2,105000
2019,Dorchester,3,348336
2019,Frederick,3,134014
2019,Harford,1,75000
2019,Howard,1,75000
2019,Montgomery,3,120984
2019,Prince George's,15,407651
2019,Queen Anne's,1,10595
2019,Somerset,12,791661
2019,Saint Mary's,1,15580
2019,Talbot,2,225217
2019,Washington,2,70465
2019,Wicomico,2,74030
2019,Worcester,2,200574
2018,Anne Arundel,22,640928
2018,Baltimore,20,503521
2018,Baltimore City,163,3403514
2018,Calvert,3,243936
2018,Cecil,2,69716
2018,Charles,5,278682
2018,Dorchester,5,240696
2018,Frederick,4,206720
2018,Garrett,1,75000
2018,Harford,3,169944
2018,Howard,1,50000
2018,Kent,1,10000
2018,Montgomery,1,30000
2018,Prince George's,43,1482209
2018,Queen Anne's,4,168954
2018,Saint Mary's,3,162500
2018,Somerset,9,272605
2018,Talbot,1,75000
2018,Washington,3,135498
2018,Wicomico,1,7135
2018,Worcester,5,215543
2017,Anne Arundel,30,951503
2017,Baltimore,1,12582
2017,Baltimore City,142,2705937
2017,Caroline,5,329548
2017,Carroll,1,14850
2017,Cecil,1,31500
2017,Charles,4,122826
2017,Dorchester,5,169152
2017,Frederick,7,157900
2017,Garrett,7,141167
2017,Harford,1,83229
2017,Howard,7,453511
2017,Kent,1,10000
2017,Montgomery,6,203996
2017,Prince George's,23,868831
2017,Saint Mary's,1,46000
2017,Somerset,8,279528
2017,Talbot,1,24800
2017,Washington,2,64199
2017,Wicomico,11,359538
2017,Worcester,4,197633
2016,Allegany,6,102091
2016,Anne Arundel,52,1372738
2016,Baltimore,2,41697
2016,Baltimore City,122,2500455
2016,Calvert,1,75000
2016,Carroll,3,114404
2016,Cecil,1,40000
2016,Charles,8,402651
2016,Dorchester,2,162313
2016,Frederick,11,459376
2016,Garrett,5,140655
2016,Harford,4,99185
2016,Howard,1,52500
2016,Kent,6,425472
2016,Montgomery,2,94185
2016,Prince George's,19,729380
2016,Somerset,15,1096117
2016,Talbot,2,226241
2016,Washington,4,229240
2016,Wicomico,5,104294
2016,Worcester,15,393139
2015,Anne Arundel,29,872102
2015,Baltimore,2,70338
2015,Baltimore City,122,2070064
2015,Calvert,1,152335
2015,Caroline,1,15000
2015,Carroll,2,179677
2015,Cecil,1,50000
2015,Charles,4,172349
2015,Dorchester,1,49000
2015,Frederick,6,156007
2015,Garrett,3,74406
2015,Harford,2,90000
2015,Howard,4,123835
2015,Kent,3,223500
2015,Montgomery,4,117705
2015,Prince George's,10,310667
2015,Queen Anne's,1,92068
2015,Saint Mary's,1,24000
2015,Somerset,8,274617
2015,Talbot,1,15000
2015,Washington,3,68221
2015,Wicomico,8,177377
2014,Allegany,5,164419
2014,Anne Arundel,41,1216430
2014,Baltimore,5,186082
2014,Baltimore City,102,1725810
2014,Calvert,1,9930
2014,Caroline,2,67486
2014,Carroll,2,63098
2014,Cecil,1,32465
2014,Charles,3,389180
2014,Dorchester,4,250650
2014,Frederick,5,120274
2014,Kent,3,217341
2014,Montgomery,2,70000
2014,Multiple,2,80000
2014,Prince George's,3,123887
2014,Saint Mary's,2,76580
2014,Somerset,21,2134127
2014,Talbot,1,9444
2014,Washington,4,57835
2014,Wicomico,2,246269
2014,Worcester,5,532740
2013,Allegany,1,24413
2013,Anne Arundel,29,1227548
2013,Baltimore,9,570915
2013,Baltimore City,112,2413286
2013,Calvert,3,116217
2013,Caroline,7,116882
2013,Carroll,3,204889
2013,Charles,4,351429
2013,Dorchester,5,215862
2013,Frederick,7,153194
2013,Garrett,2,170413
2013,Harford,2,70383
2013,Cecil,1,60000
2013,Kent,1,115244
2013,Montgomery,4,237848
2013,Prince George's,3,196395
2013,Queen Anne's,1,23881
2013,Saint Mary's,2,26000
2013,Somerset,9,656978
2013,Talbot,6,311270
2013,Washington,9,650320
2013,Wicomico,14,382306
2013,Worcester,5,243921
2012,Allegany,4,148323
2012,Anne Arundel,31,1620995
2012,Baltimore,7,197692
2012,Baltimore City,99,2269956
2012,Calvert,3,63311
2012,Caroline,7,155968
2012,Carroll,5,222639
2012,Cecil,1,14865
2012,Charles,5,271215
2012,Dorchester,5,293767
2012,Frederick,10,309959
2012,Harford,3,246647
2012,Howard,3,257534
2012,Kent,1,37815
2012,Montgomery,3,190410
2012,Multiple,1,75000
2012,Prince George's,6,274574
2012,Queen Anne's,4,79815
2012,Saint Mary's,1,169229
2012,Somerset,5,493124
2012,Talbot,13,777562
2012,Washington,4,115050
2012,Wicomico,15,412191
2012,Worcester,8,371830
2011,Allegany,7,123299
2011,Anne Arundel,36,1401257
2011,Baltimore,7,376429
2011,Baltimore City,105,2198327
2011,Calvert,3,144365
2011,Caroline,10,371071
2011,Carroll,8,265868
2011,Cecil,2,53750
2011,Charles,4,120567
2011,Dorchester,18,676683
2011,Frederick,10,595925
2011,Garrett,3,208445
2011,Harford,2,148450
2011,Howard,2,56075
2011,Kent,10,525364
2011,Montgomery,5,253326
2011,Multiple,2,90000
2011,Prince George's,4,101384
2011,Queen Anne's,4,298519
2011,Saint Mary's,8,86980
2011,Somerset,8,412587
2011,Talbot,13,329759
2011,Washington,6,391085
2011,Wicomico,22,577410
2011,Worcester,3,211018
