Date created,Reporting period start date,Reporting period end data,County,Population density per square mile,Fiscal Year
8/27/2020,4/1/2010,6/30/2010,Maryland,594.8,FY2010
8/27/2020,4/1/2010,6/30/2010,Allegany,176.9,FY2010
8/27/2020,4/1/2010,6/30/2010,Anne Arundel,1295.8,FY2010
8/27/2020,4/1/2010,6/30/2010,Baltimore City,7669.2,FY2010
8/27/2020,4/1/2010,6/30/2010,Baltimore,1346,FY2010
8/27/2020,4/1/2010,6/30/2010,Calvert,416.3,FY2010
8/27/2020,4/1/2010,6/30/2010,Caroline,103.6,FY2010
8/27/2020,4/1/2010,6/30/2010,Carroll,373.5,FY2010
8/27/2020,4/1/2010,6/30/2010,Cecil,291.9,FY2010
8/27/2020,4/1/2010,6/30/2010,Charles,320.2,FY2010
8/27/2020,4/1/2010,6/30/2010,Dorchester,60.3,FY2010
8/27/2020,4/1/2010,6/30/2010,Frederick,353.5,FY2010
8/27/2020,4/1/2010,6/30/2010,Garrett,46.6,FY2010
8/27/2020,4/1/2010,6/30/2010,Harford,560.1,FY2010
8/27/2020,4/1/2010,6/30/2010,Howard,1145,FY2010
8/27/2020,4/1/2010,6/30/2010,Kent,72.9,FY2010
8/27/2020,4/1/2010,6/30/2010,Montgomery,1977.1,FY2010
8/27/2020,4/1/2010,6/30/2010,Prince George's,1790,FY2010
8/27/2020,4/1/2010,6/30/2010,Queen Anne's,128.5,FY2010
8/27/2020,4/1/2010,6/30/2010,St. Mary's,294.4,FY2010
8/27/2020,4/1/2010,6/30/2010,Somerset,82.8,FY2010
8/27/2020,4/1/2010,6/30/2010,Talbot,140.7,FY2010
8/27/2020,4/1/2010,6/30/2010,Washington,322,FY2010
8/27/2020,4/1/2010,6/30/2010,Wicomico,263.7,FY2010
8/27/2020,4/1/2010,6/30/2010,Worcester,109.9,FY2010
8/27/2020,7/1/2010,6/30/2011,Maryland,596.6,FY2011
8/27/2020,7/1/2010,6/30/2011,Allegany,176.6,FY2011
8/27/2020,7/1/2010,6/30/2011,Anne Arundel,1300.2,FY2011
8/27/2020,7/1/2010,6/30/2011,Baltimore City,7670.4,FY2011
8/27/2020,7/1/2010,6/30/2011,Baltimore,1349.4,FY2011
8/27/2020,7/1/2010,6/30/2011,Calvert,417.5,FY2011
8/27/2020,7/1/2010,6/30/2011,Caroline,103.5,FY2011
8/27/2020,7/1/2010,6/30/2011,Carroll,373.8,FY2011
8/27/2020,7/1/2010,6/30/2011,Cecil,292.2,FY2011
8/27/2020,7/1/2010,6/30/2011,Charles,321.6,FY2011
8/27/2020,7/1/2010,6/30/2011,Dorchester,60.5,FY2011
8/27/2020,7/1/2010,6/30/2011,Frederick,355.1,FY2011
8/27/2020,7/1/2010,6/30/2011,Garrett,46.6,FY2011
8/27/2020,7/1/2010,6/30/2011,Harford,561.3,FY2011
8/27/2020,7/1/2010,6/30/2011,Howard,1151.5,FY2011
8/27/2020,7/1/2010,6/30/2011,Kent,73,FY2011
8/27/2020,7/1/2010,6/30/2011,Montgomery,1986.5,FY2011
8/27/2020,7/1/2010,6/30/2011,Prince George's,1797.9,FY2011
8/27/2020,7/1/2010,6/30/2011,Queen Anne's,128.5,FY2011
8/27/2020,7/1/2010,6/30/2011,St. Mary's,296.1,FY2011
8/27/2020,7/1/2010,6/30/2011,Somerset,82.7,FY2011
8/27/2020,7/1/2010,6/30/2011,Talbot,141.1,FY2011
8/27/2020,7/1/2010,6/30/2011,Washington,322.9,FY2011
8/27/2020,7/1/2010,6/30/2011,Wicomico,264.3,FY2011
8/27/2020,7/1/2010,6/30/2011,Worcester,110,FY2011
8/27/2020,7/1/2011,6/30/2012,Maryland,603.2,FY2012
8/27/2020,7/1/2011,6/30/2012,Allegany,175.2,FY2012
8/27/2020,7/1/2011,6/30/2012,Anne Arundel,1315,FY2012
8/27/2020,7/1/2011,6/30/2012,Baltimore City,7661.2,FY2012
8/27/2020,7/1/2011,6/30/2012,Baltimore,1364.6,FY2012
8/27/2020,7/1/2011,6/30/2012,Calvert,419,FY2012
8/27/2020,7/1/2011,6/30/2012,Caroline,102.9,FY2012
8/27/2020,7/1/2011,6/30/2012,Carroll,374.3,FY2012
8/27/2020,7/1/2011,6/30/2012,Cecil,293.5,FY2012
8/27/2020,7/1/2011,6/30/2012,Charles,326.6,FY2012
8/27/2020,7/1/2011,6/30/2012,Dorchester,60.6,FY2012
8/27/2020,7/1/2011,6/30/2012,Frederick,360.9,FY2012
8/27/2020,7/1/2011,6/30/2012,Garrett,46.6,FY2012
8/27/2020,7/1/2011,6/30/2012,Harford,565.8,FY2012
8/27/2020,7/1/2011,6/30/2012,Howard,1173.1,FY2012
8/27/2020,7/1/2011,6/30/2012,Kent,73.1,FY2012
8/27/2020,7/1/2011,6/30/2012,Montgomery,2020.4,FY2012
8/27/2020,7/1/2011,6/30/2012,Prince George's,1826.5,FY2012
8/27/2020,7/1/2011,6/30/2012,Queen Anne's,129.4,FY2012
8/27/2020,7/1/2011,6/30/2012,St. Mary's,301,FY2012
8/27/2020,7/1/2011,6/30/2012,Somerset,81.8,FY2012
8/27/2020,7/1/2011,6/30/2012,Talbot,141.5,FY2012
8/27/2020,7/1/2011,6/30/2012,Washington,326,FY2012
8/27/2020,7/1/2011,6/30/2012,Wicomico,267.1,FY2012
8/27/2020,7/1/2011,6/30/2012,Worcester,110,FY2012
8/27/2020,7/1/2012,6/30/2013,Maryland,609.3,FY2013
8/27/2020,7/1/2012,6/30/2013,Allegany,173.3,FY2013
8/27/2020,7/1/2012,6/30/2013,Anne Arundel,1329.9,FY2013
8/27/2020,7/1/2012,6/30/2013,Baltimore City,7688.9,FY2013
8/27/2020,7/1/2012,6/30/2013,Baltimore,1377.8,FY2013
8/27/2020,7/1/2012,6/30/2013,Calvert,420.8,FY2013
8/27/2020,7/1/2012,6/30/2013,Caroline,102,FY2013
8/27/2020,7/1/2012,6/30/2013,Carroll,375.2,FY2013
8/27/2020,7/1/2012,6/30/2013,Cecil,294.1,FY2013
8/27/2020,7/1/2012,6/30/2013,Charles,330.3,FY2013
8/27/2020,7/1/2012,6/30/2013,Dorchester,60.3,FY2013
8/27/2020,7/1/2012,6/30/2013,Frederick,365.6,FY2013
8/27/2020,7/1/2012,6/30/2013,Garrett,46.3,FY2013
8/27/2020,7/1/2012,6/30/2013,Harford,571,FY2013
8/27/2020,7/1/2012,6/30/2013,Howard,1197.3,FY2013
8/27/2020,7/1/2012,6/30/2013,Kent,72.1,FY2013
8/27/2020,7/1/2012,6/30/2013,Montgomery,2050.8,FY2013
8/27/2020,7/1/2012,6/30/2013,Prince George's,1855.2,FY2013
8/27/2020,7/1/2012,6/30/2013,Queen Anne's,129.7,FY2013
8/27/2020,7/1/2012,6/30/2013,St. Mary's,304.3,FY2013
8/27/2020,7/1/2012,6/30/2013,Somerset,80.8,FY2013
8/27/2020,7/1/2012,6/30/2013,Talbot,141.9,FY2013
8/27/2020,7/1/2012,6/30/2013,Washington,327.4,FY2013
8/27/2020,7/1/2012,6/30/2013,Wicomico,268.4,FY2013
8/27/2020,7/1/2012,6/30/2013,Worcester,110.2,FY2013
8/27/2020,7/1/2013,6/30/2014,Maryland,614.3,FY2014
8/27/2020,7/1/2013,6/30/2014,Allegany,171.9,FY2014
8/27/2020,7/1/2013,6/30/2014,Anne Arundel,1343.8,FY2014
8/27/2020,7/1/2013,6/30/2014,Baltimore City,7679.8,FY2014
8/27/2020,7/1/2013,6/30/2014,Baltimore,1389.4,FY2014
8/27/2020,7/1/2013,6/30/2014,Calvert,424.1,FY2014
8/27/2020,7/1/2013,6/30/2014,Caroline,102,FY2014
8/27/2020,7/1/2013,6/30/2014,Carroll,376.4,FY2014
8/27/2020,7/1/2013,6/30/2014,Cecil,294.7,FY2014
8/27/2020,7/1/2013,6/30/2014,Charles,335.2,FY2014
8/27/2020,7/1/2013,6/30/2014,Dorchester,60.6,FY2014
8/27/2020,7/1/2013,6/30/2014,Frederick,369.1,FY2014
8/27/2020,7/1/2013,6/30/2014,Garrett,46.3,FY2014
8/27/2020,7/1/2013,6/30/2014,Harford,572.8,FY2014
8/27/2020,7/1/2013,6/30/2014,Howard,1216.5,FY2014
8/27/2020,7/1/2013,6/30/2014,Kent,71.5,FY2014
8/27/2020,7/1/2013,6/30/2014,Montgomery,2073.6,FY2014
8/27/2020,7/1/2013,6/30/2014,Prince George's,1883.9,FY2014
8/27/2020,7/1/2013,6/30/2014,Queen Anne's,129.5,FY2014
8/27/2020,7/1/2013,6/30/2014,St. Mary's,305.3,FY2014
8/27/2020,7/1/2013,6/30/2014,Somerset,80.3,FY2014
8/27/2020,7/1/2013,6/30/2014,Talbot,141.7,FY2014
8/27/2020,7/1/2013,6/30/2014,Washington,328.1,FY2014
8/27/2020,7/1/2013,6/30/2014,Wicomico,269.1,FY2014
8/27/2020,7/1/2013,6/30/2014,Worcester,110.1,FY2014
8/27/2020,7/1/2014,6/30/2015,Maryland,619.1,FY2015
8/27/2020,7/1/2014,6/30/2015,Allegany,170.1,FY2015
8/27/2020,7/1/2014,6/30/2015,Anne Arundel,1354.3,FY2015
8/27/2020,7/1/2014,6/30/2015,Baltimore City,7691.5,FY2015
8/27/2020,7/1/2014,6/30/2015,Baltimore,1398.6,FY2015
8/27/2020,7/1/2014,6/30/2015,Calvert,424.5,FY2015
8/27/2020,7/1/2014,6/30/2015,Caroline,101.6,FY2015
8/27/2020,7/1/2014,6/30/2015,Carroll,377.6,FY2015
8/27/2020,7/1/2014,6/30/2015,Cecil,295.7,FY2015
8/27/2020,7/1/2014,6/30/2015,Charles,339.5,FY2015
8/27/2020,7/1/2014,6/30/2015,Dorchester,60.6,FY2015
8/27/2020,7/1/2014,6/30/2015,Frederick,373.7,FY2015
8/27/2020,7/1/2014,6/30/2015,Garrett,45.8,FY2015
8/27/2020,7/1/2014,6/30/2015,Harford,574.8,FY2015
8/27/2020,7/1/2014,6/30/2015,Howard,1231.9,FY2015
8/27/2020,7/1/2014,6/30/2015,Kent,71.3,FY2015
8/27/2020,7/1/2014,6/30/2015,Montgomery,2094.9,FY2015
8/27/2020,7/1/2014,6/30/2015,Prince George's,1915,FY2015
8/27/2020,7/1/2014,6/30/2015,Queen Anne's,129.9,FY2015
8/27/2020,7/1/2014,6/30/2015,St. Mary's,307.1,FY2015
8/27/2020,7/1/2014,6/30/2015,Somerset,78.9,FY2015
8/27/2020,7/1/2014,6/30/2015,Talbot,140.5,FY2015
8/27/2020,7/1/2014,6/30/2015,Washington,329.1,FY2015
8/27/2020,7/1/2014,6/30/2015,Wicomico,270.4,FY2015
8/27/2020,7/1/2014,6/30/2015,Worcester,110.2,FY2015
8/27/2020,7/1/2015,6/30/2016,Maryland,623.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Allegany,168.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Anne Arundel,1364.7,FY2016
8/27/2020,7/1/2015,6/30/2016,Baltimore City,7675.5,FY2016
8/27/2020,7/1/2015,6/30/2016,Baltimore,1407.5,FY2016
8/27/2020,7/1/2015,6/30/2016,Calvert,424.2,FY2016
8/27/2020,7/1/2015,6/30/2016,Caroline,101.7,FY2016
8/27/2020,7/1/2015,6/30/2016,Carroll,378,FY2016
8/27/2020,7/1/2015,6/30/2016,Cecil,296.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Charles,342.9,FY2016
8/27/2020,7/1/2015,6/30/2016,Dorchester,60.6,FY2016
8/27/2020,7/1/2015,6/30/2016,Frederick,377.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Garrett,45.4,FY2016
8/27/2020,7/1/2015,6/30/2016,Harford,576.4,FY2016
8/27/2020,7/1/2015,6/30/2016,Howard,1251.3,FY2016
8/27/2020,7/1/2015,6/30/2016,Kent,71.1,FY2016
8/27/2020,7/1/2015,6/30/2016,Montgomery,2113.8,FY2016
